mode: atomic
github.com/Songmu/gitrail/error.go:10.36,12.2 1 0
github.com/Songmu/gitrail/trail.go:96.17,98.4 1 0
github.com/Songmu/gitrail/trail.go:101.2,101.42 1 9
github.com/Songmu/gitrail/trail.go:101.42,103.3 1 6
github.com/Songmu/gitrail/trail.go:105.2,109.8 1 9
github.com/Songmu/gitrail/trail.go:112.107,114.18 2 17
github.com/Songmu/gitrail/trail.go:114.18,116.3 1 0
github.com/Songmu/gitrail/trail.go:117.2,118.16 2 17
github.com/Songmu/gitrail/trail.go:118.16,120.3 1 1
github.com/Songmu/gitrail/trail.go:121.2,121.18 1 16
github.com/Songmu/gitrail/trail.go:121.18,123.3 1 6
github.com/Songmu/gitrail/trail.go:126.2,127.18 2 10
github.com/Songmu/gitrail/trail.go:127.18,129.3 1 0
github.com/Songmu/gitrail/trail.go:130.2,131.16 2 10
github.com/Songmu/gitrail/trail.go:131.16,133.3 1 0
github.com/Songmu/gitrail/trail.go:134.2,134.18 1 10
github.com/Songmu/gitrail/trail.go:134.18,136.3 1 0
github.com/Songmu/gitrail/trail.go:138.2,139.20 2 10
github.com/Songmu/gitrail/trail.go:142.105,144.18 2 16
github.com/Songmu/gitrail/trail.go:144.18,146.3 1 0
github.com/Songmu/gitrail/trail.go:147.2,148.16 2 16
github.com/Songmu/gitrail/trail.go:148.16,150.3 1 0
github.com/Songmu/gitrail/trail.go:151.2,151.18 1 16
github.com/Songmu/gitrail/trail.go:151.18,153.3 1 2
github.com/Songmu/gitrail/trail.go:154.2,154.20 1 14
github.com/Songmu/gitrail/trail.go:157.107,159.16 2 10
github.com/Songmu/gitrail/trail.go:159.16,161.3 1 0
github.com/Songmu/gitrail/trail.go:162.2,162.19 1 10
github.com/Songmu/gitrail/trail.go:162.19,164.3 1 1
github.com/Songmu/gitrail/trail.go:165.2,165.12 1 9
github.com/Songmu/gitrail/trail.go:168.134,170.24 2 9
github.com/Songmu/gitrail/trail.go:170.24,173.3 2 2
github.com/Songmu/gitrail/trail.go:174.2,175.16 2 9
github.com/Songmu/gitrail/trail.go:175.16,177.3 1 0
github.com/Songmu/gitrail/trail.go:178.2,178.37 1 9
github.com/Songmu/gitrail/trail.go:181.50,182.18 1 17
github.com/Songmu/gitrail/trail.go:182.18,184.3 1 1
github.com/Songmu/gitrail/trail.go:185.2,186.51 2 16
github.com/Songmu/gitrail/trail.go:186.51,187.17 1 24
github.com/Songmu/gitrail/trail.go:187.17,188.12 1 0
github.com/Songmu/gitrail/trail.go:190.3,191.23 2 24
github.com/Songmu/gitrail/trail.go:191.23,192.12 1 0
github.com/Songmu/gitrail/trail.go:194.3,195.10 2 24
github.com/Songmu/gitrail/trail.go:196.42,197.73 1 6
github.com/Songmu/gitrail/trail.go:198.42,199.76 1 7
github.com/Songmu/gitrail/trail.go:200.42,201.75 1 5
github.com/Songmu/gitrail/trail.go:202.59,203.96 1 4
github.com/Songmu/gitrail/trail.go:204.59,205.73 1 1
github.com/Songmu/gitrail/trail.go:206.42,207.76 1 1
github.com/Songmu/gitrail/trail.go:210.2,210.16 1 16
github.com/Songmu/gitrail/trail.go:219.55,220.18 1 7
github.com/Songmu/gitrail/trail.go:220.18,222.3 1 1
github.com/Songmu/gitrail/trail.go:223.2,227.51 4 6
github.com/Songmu/gitrail/trail.go:227.51,228.17 1 21
github.com/Songmu/gitrail/trail.go:228.17,229.12 1 5
github.com/Songmu/gitrail/trail.go:232.3,232.25 1 16
github.com/Songmu/gitrail/trail.go:232.25,233.36 1 8
github.com/Songmu/gitrail/trail.go:233.36,235.5 1 2
github.com/Songmu/gitrail/trail.go:236.4,238.12 3 8
github.com/Songmu/gitrail/trail.go:240.3,240.47 1 8
github.com/Songmu/gitrail/trail.go:240.47,242.24 2 8
github.com/Songmu/gitrail/trail.go:242.24,244.5 1 8
github.com/Songmu/gitrail/trail.go:247.2,247.34 1 6
github.com/Songmu/gitrail/trail.go:247.34,249.3 1 6
github.com/Songmu/gitrail/trail.go:250.2,250.16 1 6
github.com/Songmu/gitrail/trail.go:253.34,254.18 1 16
github.com/Songmu/gitrail/trail.go:254.18,256.3 1 8
github.com/Songmu/gitrail/trail.go:257.2,257.22 1 8
github.com/Songmu/gitrail/trail.go:257.22,258.84 1 320
github.com/Songmu/gitrail/trail.go:258.84,260.4 1 0
github.com/Songmu/gitrail/trail.go:262.2,262.13 1 8
github.com/Songmu/gitrail/trail.go:265.169,267.24 2 9
github.com/Songmu/gitrail/trail.go:267.24,270.3 2 2
github.com/Songmu/gitrail/trail.go:271.2,272.16 2 9
github.com/Songmu/gitrail/trail.go:272.16,274.3 1 0
github.com/Songmu/gitrail/trail.go:275.2,275.18 1 9
github.com/Songmu/gitrail/trail.go:275.18,277.3 1 5
github.com/Songmu/gitrail/trail.go:280.2,281.31 2 4
github.com/Songmu/gitrail/trail.go:281.31,283.3 1 0
github.com/Songmu/gitrail/trail.go:287.2,288.49 2 4
github.com/Songmu/gitrail/trail.go:288.49,289.40 1 5
github.com/Songmu/gitrail/trail.go:289.40,291.37 2 5
github.com/Songmu/gitrail/trail.go:291.37,294.5 2 1
github.com/Songmu/gitrail/trail.go:295.4,295.29 1 5
github.com/Songmu/gitrail/trail.go:300.2,302.28 3 4
github.com/Songmu/gitrail/trail.go:302.28,303.19 1 4
github.com/Songmu/gitrail/trail.go:304.16,305.29 1 0
github.com/Songmu/gitrail/trail.go:306.14,307.27 1 1
github.com/Songmu/gitrail/trail.go:313.2,314.38 2 4
github.com/Songmu/gitrail/trail.go:314.38,315.43 1 4
github.com/Songmu/gitrail/trail.go:315.43,317.4 1 0
github.com/Songmu/gitrail/trail.go:320.2,320.29 1 4
github.com/Songmu/gitrail/trail.go:320.29,322.3 1 4
github.com/Songmu/gitrail/trail.go:325.2,326.39 2 0
github.com/Songmu/gitrail/trail.go:326.39,328.3 1 0
github.com/Songmu/gitrail/trail.go:331.2,332.28 2 0
github.com/Songmu/gitrail/trail.go:332.28,333.54 1 0
github.com/Songmu/gitrail/trail.go:333.54,335.12 1 0
github.com/Songmu/gitrail/trail.go:337.3,337.24 1 0
github.com/Songmu/gitrail/trail.go:337.24,338.47 1 0
github.com/Songmu/gitrail/trail.go:338.47,344.13 2 0
github.com/Songmu/gitrail/trail.go:347.3,347.29 1 0
github.com/Songmu/gitrail/trail.go:349.2,349.20 1 0
